#,Authors,Title,paper,attachment,Group,Category,Track,Time,Track,Session,Day,,
241,"Blai Bonet, Gabriel Formica and Melecio Ponte",Completeness of Online Planners for Partially Observable Deterministic Tasks,✔,,,long,ICAPS 2017,"Nov 18, 12:40",[75] Theory of Search,,,60,
157,"Gregor Behnke, Daniel Höller and Susanne Biundo",Plan-Verification for HTN Planning Problems,✔,,✔,long,ICAPS 2017,"Nov 14, 18:00",[75] Theory of Search,,,,
151,"Salomé Eriksson, Gabriele Röger and Malte Helmert",Unsolvability Certificates for Classical Planning,✔,,✔,long,ICAPS 2017,"Nov 17, 16:29",[75] Theory of Search,,,,
152,"Zhihui Wang, Bryan O'Gorman, Tony Tran, Eleanor Rieffel, Jeremy Frank and Minh Do",An Investigation of Phase Transitions in Single-Machine Scheduling Problems,✔,✔,,short,ICAPS 2017,"Nov 19, 05:49",[75] Theory of Search,,,,
154,Shuwa Miura and Alex Fukunaga,Automatic Extraction of Axioms for Planning,✔,✔,✔,long,ICAPS 2017,"Nov 18, 10:30",[75] Tractable Inference,,,,
243,"Dominik Winterer, Yusra Alkhazraji, Michael Katz and Martin Wehrle",Stubborn Sets for Fully Observable Nondeterministic Planning,✔,,✔,long,ICAPS 2017,"Nov 18, 22:09",[75] Tractable Inference,,,,
153,"Daniel Gnad, Álvaro Torralba, Alexander Shleyfman and Joerg Hoffmann",Symmetry Breaking in Star-Topology Decoupled Search,✔,,✔,long,ICAPS 2017,"Nov 18, 10:34",[75] Tractable Inference,,,,
155,Nir Lipovetzky and Hector Geffner,A polynomial planning algorithm that beats FF and LAMA,✔,,,short,ICAPS 2017,"Nov 18, 13:12",[75] Tractable Inference,,,,
244,"Shun Zhang, Edmund Durfee and Satinder Singh",Approximately-Optimal Queries for Planning in Reward-Uncertain Markov Decision Processes,✔,✔,✔,long,ICAPS 2017,"Nov 19, 02:36",[75] Uncertainty,,,,
239,"Felipe Trevizan, Sylvie Thiebaux and Patrik Haslum",Occupation Measure Heuristics for Probabilistic Planning,✔,✔,,long,ICAPS 2017,"Nov 18, 02:04",[75] Uncertainty,,,,
186,"Hany Abdulsamad, Oleg Arenz, Jan Peters and Gerhard Neumann",State-Regularized Policy Search for Linearized Dynamical Systems,✔,✔,,long,ICAPS 2017 Learning Track,"Nov 17, 18:04",[75] Uncertainty,,,,
245,"Shamin Kinathil, Harold Soh and Scott Sanner",Analytic Decision Analysis via Symbolic Dynamic Programming for Parameterized Hybrid MDPs,✔,,✔,short,ICAPS 2017,"Nov 18, 11:51",[75] Uncertainty,,,,
168,Ludovic Hofer and Quentin Rouxel,An Operational Method Toward Efficient Navigation Policies for Humanoid Robots,✔,,✔,long,ICAPS 2017 Robotics Track,"Nov 18, 19:58",[75] Uncertainty and Robotics,,,80,
238,"Bruno Lacerda, David Parker and Nick Hawes",Multi-objective Policy Generation for Mobile Robots under Probabilistic Time-Bounded Guarantees,✔,,,long,ICAPS 2017 Robotics Track,"Nov 18, 22:29",[75] Uncertainty and Robotics,,,,
236,"Nakul Gopalan, Marie desJardins, Michael L. Littman, James MacGlashan, Shawn Squire, Stefanie Tellex, John Winder and Lawson L.S. Wong",Planning with Abstract Markov Decision Processes,✔,✔,✔,long,ICAPS 2017 Robotics Track,"Nov 18, 15:21",[75] Uncertainty and Robotics,,,,
237,"Roderic Grupen, Michael W. Lanighan and Takeshi Takahashi",Hybrid Task Planning Grounded in Belief: Constructing Physical Copies of Simple Structures,✔,✔,✔,short,ICAPS 2017 Robotics Track,"Nov 18, 21:51",[75] Uncertainty and Robotics,,,,
235,Hsu-Chieh Hu and Stephen Smith,Coping with Large Traffic Volumes in Schedule-Driven Traffic Signal Control,✔,,✔,long,ICAPS 2017,"Nov 19, 01:56",[80] Applications III,,,80,
229,"Miguel Ángel González Fernández, Angelo Oddi and Riccardo Rasconi",Multi-objective optimization in a job shop with energy costs through hybrid evolutionary techniques,✔,,,long,ICAPS 2017,"Nov 18, 13:26",[80] Applications III,,,,
227,"Meghna Lowalekar, Pradeep Varakantham, Supriyo Ghosh, Sanjay Dominik Jena and Patrick Jaillet",Online Repositioning in Bike Sharing Systems,✔,✔,✔,long,ICAPS 2017,"Nov 18, 06:19",[80] Applications III,,,,
234,"Srikumar Ramalingam, Arvind Raghunathan and Daniel Nikovski",Submodular Function Maximization for Group Elevator Scheduling,✔,,,long,ICAPS 2017,"Nov 18, 15:21",[80] Applications III,,,,
188,"Sara Bernardini, Maria Fox, Derek Long and Chiara Piacentini",Boosting search guidance in problems with semantic attachments,✔,,,long,ICAPS 2017,"Nov 18, 23:30",[65] Heuristics II,,,,
163,"Patrick Speicher, Marcel Steinmetz, Daniel Gnad, Joerg Hoffmann and Alfonso Emilio Gerevini",Beyond Red-Black Planning: Limited-Memory State Variables,✔,✔,✔,short,ICAPS 2017,"Nov 18, 10:00",[65] Heuristics II,,,80,
203,Marcel Steinmetz and Joerg Hoffmann,Critical-Path Dead-End Detection vs. NoGoods: Offline Equivalence and Online Learning,✔,,✔,short,ICAPS 2017,"Nov 18, 10:38",[65] Heuristics II,,,,
190,"Bence Cserna, Wheeler Ruml and Jeremy Frank",Planning Time to Think: Metareasoning for On-line Planning with Durative Actions,✔,,✔,short,ICAPS 2017,"Nov 18, 20:57",[65] Heuristics II,,,80,
246,"Qi Zhang, Satinder Singh and Edmund Durfee",Minimizing Maximum Regret in Commitment Constrained Sequential Decision Making,✔,✔,✔,long,ICAPS 2017,"Nov 19, 02:11",[80] Multi Agent Planning,,,,
196,"Hadi Salman, Elif Ayvali and Howie Choset",Multi-Agent Ergodic Coverage with Obstacle Avoidance,✔,✔,✔,long,ICAPS 2017,"Nov 19, 00:53",[80] Multi Agent Planning,,,,
205,Filippos Kominis and Hector Geffner,Multiagent Online Planning with Nested Beliefs and Dialogue,✔,,✔,long,ICAPS 2017,"Nov 18, 18:54",[80] Multi Agent Planning,,,,
200,"Thayne T. Walker, Nathan Sturtevant and David Chan",Using Hierarchical Constraints to Avoid Conflicts in Multi-Agent Pathfinding,✔,,✔,long,ICAPS 2017,"Nov 15, 21:47",[80] Multi Agent Planning,,,80,
,,,,,,,,,,,80 min:,6,
,,,,,,,,,,,60 min:,10,
